course_id,previous_course_id
10904,10903
10903,10904
36573,38781
30001,34112
10904,10903
10903,10904
30001,34112
38466,38532
38532,38466
38417,38854
30001,34112
38467,38853
38455,30133
30001,34112
10904,10903
10903,10904
10904,10903
10903,10904
30001,34112
32898,38761
36809,38763
34316,38766
10904,10903
10903,10904
30001,34112
20499,38759
10904,10903
10903,10904
30001,34112
37839,38777
10904,10903
10903,10904
36573,38781
30001,34112
38449,34881
38455,30133
38453,34877
38467,38853
30001,34112
10904,10903
10903,10904
30001,34112
10904,10903
10903,10904
30001,34112
38532,38466
10904,10903
10903,10904
30001,34112
38853,38467
38854,38417
10904,10903
10903,10904
30001,34112
10904,10903
10903,10904
30001,34112
38761,32898
38766,34316
38763,36809
10904,10903
10903,10904
38777,37839
10904,10903
10903,10904
30001,34112
38449,34881
38453,34877
10904,10903
10903,10904
30001,34112
38532,38466
38449,34881
38453,34877
38532,38466
38449,34881
38453,34877
