course_id,homo_course_id
11094,10021
11161,10098
11163,10098
11094,10021
11161,10098
11163,10098
11094,10021
11094,10021
11094,10021
11161,10098
11163,10098
11094,10021
11161,10098
11163,10098
11094,10021
11161,10098
11163,10098
11094,10021
11161,10098
11163,10098
11094,10021
11161,10098
11163,10098
11094,10021
